stratum,family,query_id,query_source,eligible_ndcg,n_candidates,n_graded_relevant,n_binary_relevant,exclusion_reason
flare22-to-lits,exploratory-source-pairs,Q0106,flare22,False,131,0,0,no_nonzero_graded_relevance
flare22-to-lits,exploratory-source-pairs,Q0107,flare22,True,131,14,0,
flare22-to-lits,exploratory-source-pairs,Q0108,flare22,False,131,0,0,no_nonzero_graded_relevance
flare22-to-lits,exploratory-source-pairs,Q0109,flare22,False,131,0,0,no_nonzero_graded_relevance
flare22-to-lits,exploratory-source-pairs,Q0110,flare22,True,131,14,0,
flare22-to-msd_pancreas,exploratory-source-pairs,Q0085,flare22,False,281,0,0,no_nonzero_graded_relevance
flare22-to-msd_pancreas,exploratory-source-pairs,Q0086,flare22,False,281,0,0,no_nonzero_graded_relevance
flare22-to-msd_pancreas,exploratory-source-pairs,Q0087,flare22,False,281,0,0,no_nonzero_graded_relevance
flare22-to-msd_pancreas,exploratory-source-pairs,Q0088,flare22,False,281,0,0,no_nonzero_graded_relevance
flare22-to-msd_pancreas,exploratory-source-pairs,Q0089,flare22,False,281,0,0,no_nonzero_graded_relevance
flare22-to-msd_pancreas,exploratory-source-pairs,Q0090,flare22,False,281,0,0,no_nonzero_graded_relevance
flare22-to-msd_pancreas,exploratory-source-pairs,Q0091,flare22,False,281,0,0,no_nonzero_graded_relevance
flare22-to-msd_pancreas,exploratory-source-pairs,Q0092,flare22,False,281,0,0,no_nonzero_graded_relevance
flare22-to-msd_pancreas,exploratory-source-pairs,Q0093,flare22,False,281,0,0,no_nonzero_graded_relevance
flare22-to-msd_pancreas,exploratory-source-pairs,Q0094,flare22,False,281,0,0,no_nonzero_graded_relevance
flare22-to-msd_pancreas,exploratory-source-pairs,Q0095,flare22,False,281,0,0,no_nonzero_graded_relevance
flare22-to-msd_pancreas,exploratory-source-pairs,Q0096,flare22,False,281,0,0,no_nonzero_graded_relevance
flare22-to-msd_pancreas,exploratory-source-pairs,Q0097,flare22,False,281,0,0,no_nonzero_graded_relevance
flare22-to-msd_pancreas,exploratory-source-pairs,Q0098,flare22,True,281,121,0,
flare22-to-msd_pancreas,exploratory-source-pairs,Q0099,flare22,False,281,0,0,no_nonzero_graded_relevance
flare22-to-msd_pancreas,exploratory-source-pairs,Q0100,flare22,False,281,0,0,no_nonzero_graded_relevance
flare22-to-msd_pancreas,exploratory-source-pairs,Q0101,flare22,False,281,0,0,no_nonzero_graded_relevance
flare22-to-msd_pancreas,exploratory-source-pairs,Q0102,flare22,True,281,121,0,
flare22-to-msd_pancreas,exploratory-source-pairs,Q0103,flare22,False,281,0,0,no_nonzero_graded_relevance
flare22-to-msd_pancreas,exploratory-source-pairs,Q0104,flare22,False,281,0,0,no_nonzero_graded_relevance
flare22-to-msd_pancreas,exploratory-source-pairs,Q0105,flare22,False,281,0,0,no_nonzero_graded_relevance
flare22-to-msd_pancreas,exploratory-source-pairs,Q0106,flare22,False,281,0,0,no_nonzero_graded_relevance
flare22-to-msd_pancreas,exploratory-source-pairs,Q0107,flare22,False,281,0,0,no_nonzero_graded_relevance
flare22-to-msd_pancreas,exploratory-source-pairs,Q0108,flare22,True,281,121,0,
flare22-to-msd_pancreas,exploratory-source-pairs,Q0109,flare22,False,281,0,0,no_nonzero_graded_relevance
flare22-to-msd_pancreas,exploratory-source-pairs,Q0110,flare22,False,281,0,0,no_nonzero_graded_relevance
lits-to-flare22,exploratory-source-pairs,Q0060,lits,False,100,0,0,no_nonzero_graded_relevance
lits-to-flare22,exploratory-source-pairs,Q0061,lits,False,100,0,0,no_nonzero_graded_relevance
lits-to-flare22,exploratory-source-pairs,Q0062,lits,False,100,0,0,no_nonzero_graded_relevance
lits-to-flare22,exploratory-source-pairs,Q0063,lits,False,100,0,0,no_nonzero_graded_relevance
lits-to-flare22,exploratory-source-pairs,Q0064,lits,False,100,0,0,no_nonzero_graded_relevance
lits-to-flare22,exploratory-source-pairs,Q0065,lits,False,100,0,0,no_nonzero_graded_relevance
lits-to-flare22,exploratory-source-pairs,Q0066,lits,False,100,0,0,no_nonzero_graded_relevance
lits-to-flare22,exploratory-source-pairs,Q0067,lits,False,100,0,0,no_nonzero_graded_relevance
lits-to-flare22,exploratory-source-pairs,Q0068,lits,True,100,97,0,
lits-to-flare22,exploratory-source-pairs,Q0069,lits,False,100,0,0,no_nonzero_graded_relevance
lits-to-flare22,exploratory-source-pairs,Q0070,lits,False,100,0,0,no_nonzero_graded_relevance
lits-to-flare22,exploratory-source-pairs,Q0071,lits,False,100,0,0,no_nonzero_graded_relevance
lits-to-flare22,exploratory-source-pairs,Q0072,lits,False,100,0,0,no_nonzero_graded_relevance
lits-to-flare22,exploratory-source-pairs,Q0073,lits,False,100,0,0,no_nonzero_graded_relevance
lits-to-flare22,exploratory-source-pairs,Q0074,lits,False,100,0,0,no_nonzero_graded_relevance
lits-to-flare22,exploratory-source-pairs,Q0075,lits,False,100,0,0,no_nonzero_graded_relevance
lits-to-flare22,exploratory-source-pairs,Q0076,lits,False,100,0,0,no_nonzero_graded_relevance
lits-to-flare22,exploratory-source-pairs,Q0077,lits,True,100,97,0,
lits-to-flare22,exploratory-source-pairs,Q0078,lits,False,100,0,0,no_nonzero_graded_relevance
lits-to-flare22,exploratory-source-pairs,Q0079,lits,True,100,97,0,
lits-to-flare22,exploratory-source-pairs,Q0080,lits,False,100,0,0,no_nonzero_graded_relevance
lits-to-flare22,exploratory-source-pairs,Q0081,lits,False,100,0,0,no_nonzero_graded_relevance
lits-to-flare22,exploratory-source-pairs,Q0082,lits,False,100,0,0,no_nonzero_graded_relevance
lits-to-flare22,exploratory-source-pairs,Q0083,lits,False,100,0,0,no_nonzero_graded_relevance
lits-to-flare22,exploratory-source-pairs,Q0084,lits,False,100,0,0,no_nonzero_graded_relevance
lits-to-msd_pancreas,exploratory-source-pairs,Q0060,lits,False,281,0,0,no_nonzero_graded_relevance
lits-to-msd_pancreas,exploratory-source-pairs,Q0061,lits,False,281,0,0,no_nonzero_graded_relevance
lits-to-msd_pancreas,exploratory-source-pairs,Q0062,lits,False,281,0,0,no_nonzero_graded_relevance
lits-to-msd_pancreas,exploratory-source-pairs,Q0063,lits,False,281,0,0,no_nonzero_graded_relevance
lits-to-msd_pancreas,exploratory-source-pairs,Q0064,lits,False,281,0,0,no_nonzero_graded_relevance
lits-to-msd_pancreas,exploratory-source-pairs,Q0065,lits,False,281,0,0,no_nonzero_graded_relevance
lits-to-msd_pancreas,exploratory-source-pairs,Q0066,lits,False,281,0,0,no_nonzero_graded_relevance
lits-to-msd_pancreas,exploratory-source-pairs,Q0067,lits,False,281,0,0,no_nonzero_graded_relevance
lits-to-msd_pancreas,exploratory-source-pairs,Q0068,lits,False,281,0,0,no_nonzero_graded_relevance
lits-to-msd_pancreas,exploratory-source-pairs,Q0069,lits,False,281,0,0,no_nonzero_graded_relevance
lits-to-msd_pancreas,exploratory-source-pairs,Q0070,lits,False,281,0,0,no_nonzero_graded_relevance
lits-to-msd_pancreas,exploratory-source-pairs,Q0071,lits,False,281,0,0,no_nonzero_graded_relevance
lits-to-msd_pancreas,exploratory-source-pairs,Q0072,lits,False,281,0,0,no_nonzero_graded_relevance
lits-to-msd_pancreas,exploratory-source-pairs,Q0073,lits,False,281,0,0,no_nonzero_graded_relevance
lits-to-msd_pancreas,exploratory-source-pairs,Q0074,lits,False,281,0,0,no_nonzero_graded_relevance
lits-to-msd_pancreas,exploratory-source-pairs,Q0075,lits,False,281,0,0,no_nonzero_graded_relevance
lits-to-msd_pancreas,exploratory-source-pairs,Q0076,lits,False,281,0,0,no_nonzero_graded_relevance
lits-to-msd_pancreas,exploratory-source-pairs,Q0077,lits,False,281,0,0,no_nonzero_graded_relevance
lits-to-msd_pancreas,exploratory-source-pairs,Q0078,lits,False,281,0,0,no_nonzero_graded_relevance
lits-to-msd_pancreas,exploratory-source-pairs,Q0079,lits,False,281,0,0,no_nonzero_graded_relevance
lits-to-msd_pancreas,exploratory-source-pairs,Q0080,lits,False,281,0,0,no_nonzero_graded_relevance
lits-to-msd_pancreas,exploratory-source-pairs,Q0081,lits,False,281,0,0,no_nonzero_graded_relevance
lits-to-msd_pancreas,exploratory-source-pairs,Q0082,lits,False,281,0,0,no_nonzero_graded_relevance
lits-to-msd_pancreas,exploratory-source-pairs,Q0083,lits,False,281,0,0,no_nonzero_graded_relevance
lits-to-msd_pancreas,exploratory-source-pairs,Q0084,lits,False,281,0,0,no_nonzero_graded_relevance
msd_pancreas-to-flare22,exploratory-source-pairs,Q0000,msd_pancreas,False,100,0,0,no_nonzero_graded_relevance
msd_pancreas-to-flare22,exploratory-source-pairs,Q0001,msd_pancreas,False,100,0,0,no_nonzero_graded_relevance
msd_pancreas-to-flare22,exploratory-source-pairs,Q0002,msd_pancreas,False,100,0,0,no_nonzero_graded_relevance
msd_pancreas-to-flare22,exploratory-source-pairs,Q0003,msd_pancreas,False,100,0,0,no_nonzero_graded_relevance
msd_pancreas-to-flare22,exploratory-source-pairs,Q0004,msd_pancreas,False,100,0,0,no_nonzero_graded_relevance
msd_pancreas-to-flare22,exploratory-source-pairs,Q0005,msd_pancreas,False,100,0,0,no_nonzero_graded_relevance
msd_pancreas-to-flare22,exploratory-source-pairs,Q0006,msd_pancreas,False,100,0,0,no_nonzero_graded_relevance
msd_pancreas-to-flare22,exploratory-source-pairs,Q0007,msd_pancreas,False,100,0,0,no_nonzero_graded_relevance
msd_pancreas-to-flare22,exploratory-source-pairs,Q0008,msd_pancreas,False,100,0,0,no_nonzero_graded_relevance
msd_pancreas-to-flare22,exploratory-source-pairs,Q0009,msd_pancreas,False,100,0,0,no_nonzero_graded_relevance
msd_pancreas-to-flare22,exploratory-source-pairs,Q0010,msd_pancreas,False,100,0,0,no_nonzero_graded_relevance
msd_pancreas-to-flare22,exploratory-source-pairs,Q0011,msd_pancreas,False,100,0,0,no_nonzero_graded_relevance
msd_pancreas-to-flare22,exploratory-source-pairs,Q0012,msd_pancreas,False,100,0,0,no_nonzero_graded_relevance
msd_pancreas-to-flare22,exploratory-source-pairs,Q0013,msd_pancreas,False,100,0,0,no_nonzero_graded_relevance
msd_pancreas-to-flare22,exploratory-source-pairs,Q0014,msd_pancreas,False,100,0,0,no_nonzero_graded_relevance
msd_pancreas-to-flare22,exploratory-source-pairs,Q0015,msd_pancreas,False,100,0,0,no_nonzero_graded_relevance
msd_pancreas-to-flare22,exploratory-source-pairs,Q0016,msd_pancreas,False,100,0,0,no_nonzero_graded_relevance
msd_pancreas-to-flare22,exploratory-source-pairs,Q0017,msd_pancreas,True,100,55,0,
msd_pancreas-to-flare22,exploratory-source-pairs,Q0018,msd_pancreas,True,100,55,0,
msd_pancreas-to-flare22,exploratory-source-pairs,Q0019,msd_pancreas,False,100,0,0,no_nonzero_graded_relevance
msd_pancreas-to-flare22,exploratory-source-pairs,Q0020,msd_pancreas,False,100,0,0,no_nonzero_graded_relevance
msd_pancreas-to-flare22,exploratory-source-pairs,Q0021,msd_pancreas,False,100,0,0,no_nonzero_graded_relevance
msd_pancreas-to-flare22,exploratory-source-pairs,Q0022,msd_pancreas,False,100,0,0,no_nonzero_graded_relevance
msd_pancreas-to-flare22,exploratory-source-pairs,Q0023,msd_pancreas,False,100,0,0,no_nonzero_graded_relevance
msd_pancreas-to-flare22,exploratory-source-pairs,Q0024,msd_pancreas,False,100,0,0,no_nonzero_graded_relevance
msd_pancreas-to-flare22,exploratory-source-pairs,Q0025,msd_pancreas,False,100,0,0,no_nonzero_graded_relevance
msd_pancreas-to-flare22,exploratory-source-pairs,Q0026,msd_pancreas,False,100,0,0,no_nonzero_graded_relevance
msd_pancreas-to-flare22,exploratory-source-pairs,Q0027,msd_pancreas,False,100,0,0,no_nonzero_graded_relevance
msd_pancreas-to-flare22,exploratory-source-pairs,Q0028,msd_pancreas,True,100,55,0,
msd_pancreas-to-flare22,exploratory-source-pairs,Q0029,msd_pancreas,False,100,0,0,no_nonzero_graded_relevance
msd_pancreas-to-flare22,exploratory-source-pairs,Q0030,msd_pancreas,True,100,55,0,
msd_pancreas-to-flare22,exploratory-source-pairs,Q0031,msd_pancreas,True,100,55,0,
msd_pancreas-to-flare22,exploratory-source-pairs,Q0032,msd_pancreas,False,100,0,0,no_nonzero_graded_relevance
msd_pancreas-to-flare22,exploratory-source-pairs,Q0033,msd_pancreas,False,100,0,0,no_nonzero_graded_relevance
msd_pancreas-to-flare22,exploratory-source-pairs,Q0034,msd_pancreas,False,100,0,0,no_nonzero_graded_relevance
msd_pancreas-to-flare22,exploratory-source-pairs,Q0035,msd_pancreas,False,100,0,0,no_nonzero_graded_relevance
msd_pancreas-to-flare22,exploratory-source-pairs,Q0036,msd_pancreas,False,100,0,0,no_nonzero_graded_relevance
msd_pancreas-to-flare22,exploratory-source-pairs,Q0037,msd_pancreas,False,100,0,0,no_nonzero_graded_relevance
msd_pancreas-to-flare22,exploratory-source-pairs,Q0038,msd_pancreas,False,100,0,0,no_nonzero_graded_relevance
msd_pancreas-to-flare22,exploratory-source-pairs,Q0039,msd_pancreas,True,100,55,0,
msd_pancreas-to-flare22,exploratory-source-pairs,Q0040,msd_pancreas,False,100,0,0,no_nonzero_graded_relevance
msd_pancreas-to-flare22,exploratory-source-pairs,Q0041,msd_pancreas,True,100,55,0,
msd_pancreas-to-flare22,exploratory-source-pairs,Q0042,msd_pancreas,False,100,0,0,no_nonzero_graded_relevance
msd_pancreas-to-flare22,exploratory-source-pairs,Q0043,msd_pancreas,True,100,55,0,
msd_pancreas-to-flare22,exploratory-source-pairs,Q0044,msd_pancreas,True,100,55,0,
msd_pancreas-to-flare22,exploratory-source-pairs,Q0045,msd_pancreas,True,100,55,0,
msd_pancreas-to-flare22,exploratory-source-pairs,Q0046,msd_pancreas,False,100,0,0,no_nonzero_graded_relevance
msd_pancreas-to-flare22,exploratory-source-pairs,Q0047,msd_pancreas,False,100,0,0,no_nonzero_graded_relevance
msd_pancreas-to-flare22,exploratory-source-pairs,Q0048,msd_pancreas,False,100,0,0,no_nonzero_graded_relevance
msd_pancreas-to-flare22,exploratory-source-pairs,Q0049,msd_pancreas,False,100,0,0,no_nonzero_graded_relevance
msd_pancreas-to-flare22,exploratory-source-pairs,Q0050,msd_pancreas,False,100,0,0,no_nonzero_graded_relevance
msd_pancreas-to-flare22,exploratory-source-pairs,Q0051,msd_pancreas,False,100,0,0,no_nonzero_graded_relevance
msd_pancreas-to-flare22,exploratory-source-pairs,Q0052,msd_pancreas,False,100,0,0,no_nonzero_graded_relevance
msd_pancreas-to-flare22,exploratory-source-pairs,Q0053,msd_pancreas,False,100,0,0,no_nonzero_graded_relevance
msd_pancreas-to-flare22,exploratory-source-pairs,Q0054,msd_pancreas,False,100,0,0,no_nonzero_graded_relevance
msd_pancreas-to-flare22,exploratory-source-pairs,Q0055,msd_pancreas,False,100,0,0,no_nonzero_graded_relevance
msd_pancreas-to-flare22,exploratory-source-pairs,Q0056,msd_pancreas,False,100,0,0,no_nonzero_graded_relevance
msd_pancreas-to-flare22,exploratory-source-pairs,Q0057,msd_pancreas,False,100,0,0,no_nonzero_graded_relevance
msd_pancreas-to-flare22,exploratory-source-pairs,Q0058,msd_pancreas,False,100,0,0,no_nonzero_graded_relevance
msd_pancreas-to-flare22,exploratory-source-pairs,Q0059,msd_pancreas,False,100,0,0,no_nonzero_graded_relevance
msd_pancreas-to-lits,exploratory-source-pairs,Q0000,msd_pancreas,False,131,0,0,no_nonzero_graded_relevance
msd_pancreas-to-lits,exploratory-source-pairs,Q0001,msd_pancreas,False,131,0,0,no_nonzero_graded_relevance
msd_pancreas-to-lits,exploratory-source-pairs,Q0002,msd_pancreas,False,131,0,0,no_nonzero_graded_relevance
msd_pancreas-to-lits,exploratory-source-pairs,Q0003,msd_pancreas,False,131,0,0,no_nonzero_graded_relevance
msd_pancreas-to-lits,exploratory-source-pairs,Q0004,msd_pancreas,False,131,0,0,no_nonzero_graded_relevance
msd_pancreas-to-lits,exploratory-source-pairs,Q0005,msd_pancreas,False,131,0,0,no_nonzero_graded_relevance
msd_pancreas-to-lits,exploratory-source-pairs,Q0006,msd_pancreas,False,131,0,0,no_nonzero_graded_relevance
msd_pancreas-to-lits,exploratory-source-pairs,Q0007,msd_pancreas,False,131,0,0,no_nonzero_graded_relevance
msd_pancreas-to-lits,exploratory-source-pairs,Q0008,msd_pancreas,False,131,0,0,no_nonzero_graded_relevance
msd_pancreas-to-lits,exploratory-source-pairs,Q0009,msd_pancreas,False,131,0,0,no_nonzero_graded_relevance
msd_pancreas-to-lits,exploratory-source-pairs,Q0010,msd_pancreas,False,131,0,0,no_nonzero_graded_relevance
msd_pancreas-to-lits,exploratory-source-pairs,Q0011,msd_pancreas,False,131,0,0,no_nonzero_graded_relevance
msd_pancreas-to-lits,exploratory-source-pairs,Q0012,msd_pancreas,False,131,0,0,no_nonzero_graded_relevance
msd_pancreas-to-lits,exploratory-source-pairs,Q0013,msd_pancreas,False,131,0,0,no_nonzero_graded_relevance
msd_pancreas-to-lits,exploratory-source-pairs,Q0014,msd_pancreas,False,131,0,0,no_nonzero_graded_relevance
msd_pancreas-to-lits,exploratory-source-pairs,Q0015,msd_pancreas,False,131,0,0,no_nonzero_graded_relevance
msd_pancreas-to-lits,exploratory-source-pairs,Q0016,msd_pancreas,False,131,0,0,no_nonzero_graded_relevance
msd_pancreas-to-lits,exploratory-source-pairs,Q0017,msd_pancreas,False,131,0,0,no_nonzero_graded_relevance
msd_pancreas-to-lits,exploratory-source-pairs,Q0018,msd_pancreas,False,131,0,0,no_nonzero_graded_relevance
msd_pancreas-to-lits,exploratory-source-pairs,Q0019,msd_pancreas,False,131,0,0,no_nonzero_graded_relevance
msd_pancreas-to-lits,exploratory-source-pairs,Q0020,msd_pancreas,False,131,0,0,no_nonzero_graded_relevance
msd_pancreas-to-lits,exploratory-source-pairs,Q0021,msd_pancreas,False,131,0,0,no_nonzero_graded_relevance
msd_pancreas-to-lits,exploratory-source-pairs,Q0022,msd_pancreas,False,131,0,0,no_nonzero_graded_relevance
msd_pancreas-to-lits,exploratory-source-pairs,Q0023,msd_pancreas,False,131,0,0,no_nonzero_graded_relevance
msd_pancreas-to-lits,exploratory-source-pairs,Q0024,msd_pancreas,False,131,0,0,no_nonzero_graded_relevance
msd_pancreas-to-lits,exploratory-source-pairs,Q0025,msd_pancreas,False,131,0,0,no_nonzero_graded_relevance
msd_pancreas-to-lits,exploratory-source-pairs,Q0026,msd_pancreas,False,131,0,0,no_nonzero_graded_relevance
msd_pancreas-to-lits,exploratory-source-pairs,Q0027,msd_pancreas,False,131,0,0,no_nonzero_graded_relevance
msd_pancreas-to-lits,exploratory-source-pairs,Q0028,msd_pancreas,False,131,0,0,no_nonzero_graded_relevance
msd_pancreas-to-lits,exploratory-source-pairs,Q0029,msd_pancreas,False,131,0,0,no_nonzero_graded_relevance
msd_pancreas-to-lits,exploratory-source-pairs,Q0030,msd_pancreas,False,131,0,0,no_nonzero_graded_relevance
msd_pancreas-to-lits,exploratory-source-pairs,Q0031,msd_pancreas,False,131,0,0,no_nonzero_graded_relevance
msd_pancreas-to-lits,exploratory-source-pairs,Q0032,msd_pancreas,False,131,0,0,no_nonzero_graded_relevance
msd_pancreas-to-lits,exploratory-source-pairs,Q0033,msd_pancreas,False,131,0,0,no_nonzero_graded_relevance
msd_pancreas-to-lits,exploratory-source-pairs,Q0034,msd_pancreas,False,131,0,0,no_nonzero_graded_relevance
msd_pancreas-to-lits,exploratory-source-pairs,Q0035,msd_pancreas,False,131,0,0,no_nonzero_graded_relevance
msd_pancreas-to-lits,exploratory-source-pairs,Q0036,msd_pancreas,False,131,0,0,no_nonzero_graded_relevance
msd_pancreas-to-lits,exploratory-source-pairs,Q0037,msd_pancreas,False,131,0,0,no_nonzero_graded_relevance
msd_pancreas-to-lits,exploratory-source-pairs,Q0038,msd_pancreas,False,131,0,0,no_nonzero_graded_relevance
msd_pancreas-to-lits,exploratory-source-pairs,Q0039,msd_pancreas,False,131,0,0,no_nonzero_graded_relevance
msd_pancreas-to-lits,exploratory-source-pairs,Q0040,msd_pancreas,False,131,0,0,no_nonzero_graded_relevance
msd_pancreas-to-lits,exploratory-source-pairs,Q0041,msd_pancreas,False,131,0,0,no_nonzero_graded_relevance
msd_pancreas-to-lits,exploratory-source-pairs,Q0042,msd_pancreas,False,131,0,0,no_nonzero_graded_relevance
msd_pancreas-to-lits,exploratory-source-pairs,Q0043,msd_pancreas,False,131,0,0,no_nonzero_graded_relevance
msd_pancreas-to-lits,exploratory-source-pairs,Q0044,msd_pancreas,False,131,0,0,no_nonzero_graded_relevance
msd_pancreas-to-lits,exploratory-source-pairs,Q0045,msd_pancreas,False,131,0,0,no_nonzero_graded_relevance
msd_pancreas-to-lits,exploratory-source-pairs,Q0046,msd_pancreas,False,131,0,0,no_nonzero_graded_relevance
msd_pancreas-to-lits,exploratory-source-pairs,Q0047,msd_pancreas,False,131,0,0,no_nonzero_graded_relevance
msd_pancreas-to-lits,exploratory-source-pairs,Q0048,msd_pancreas,False,131,0,0,no_nonzero_graded_relevance
msd_pancreas-to-lits,exploratory-source-pairs,Q0049,msd_pancreas,False,131,0,0,no_nonzero_graded_relevance
msd_pancreas-to-lits,exploratory-source-pairs,Q0050,msd_pancreas,False,131,0,0,no_nonzero_graded_relevance
msd_pancreas-to-lits,exploratory-source-pairs,Q0051,msd_pancreas,False,131,0,0,no_nonzero_graded_relevance
msd_pancreas-to-lits,exploratory-source-pairs,Q0052,msd_pancreas,False,131,0,0,no_nonzero_graded_relevance
msd_pancreas-to-lits,exploratory-source-pairs,Q0053,msd_pancreas,False,131,0,0,no_nonzero_graded_relevance
msd_pancreas-to-lits,exploratory-source-pairs,Q0054,msd_pancreas,False,131,0,0,no_nonzero_graded_relevance
msd_pancreas-to-lits,exploratory-source-pairs,Q0055,msd_pancreas,False,131,0,0,no_nonzero_graded_relevance
msd_pancreas-to-lits,exploratory-source-pairs,Q0056,msd_pancreas,False,131,0,0,no_nonzero_graded_relevance
msd_pancreas-to-lits,exploratory-source-pairs,Q0057,msd_pancreas,False,131,0,0,no_nonzero_graded_relevance
msd_pancreas-to-lits,exploratory-source-pairs,Q0058,msd_pancreas,False,131,0,0,no_nonzero_graded_relevance
msd_pancreas-to-lits,exploratory-source-pairs,Q0059,msd_pancreas,False,131,0,0,no_nonzero_graded_relevance
